,0
0,Alabama
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Georgia
6,Hawaii
7,Indiana
8,Iowa
9,Louisiana
10,Maine
11,Massachusetts
12,Michigan
13,Minnesota
14,Mississippi
15,Montana
16,Nebraska
17,North Dakota
18,Pennsylvania
19,Rhode Island
20,South Carolina
21,Tennessee
22,Virginia
23,Washington
24,Wisconsin
